FILENAME,Filename English v.2.1,Dataset,Name,Nb inputs,Fq DKO,Fq DKN,Fq  TOT,% DKO,% DKN,% TOT,Nb names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Category 2-resp,Nb category (answer1),Nb category (answer2),Nb category (all answers),Modal category,Fq (answer1),Fq (answer2),% Category Agreement,% Category Agreement (all answers),Hcat-value,Familiarity,Fam_Nb_inputs,Fam_Mean,Fam_StDev,Visual Complexity,Nb inputs,Mean,StDev,Object Agreement,Nb inputs,Mean,StDev,Viewpoint Agreement,Nb inputs,Mean,StDev,Manipulability,Nb inputs,Mean,StDev
baseballbat,baseballbat,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,baseball bat,34,81%,81%,3,0.89,,33,3,36,Outdoor activity & sport item,29,3,88%,89%,0.63,,42,4.76,0.53,,42,1.69,0.81,,32,3.41,1.52,,32,3.59,1.27,,34,4.38,0.95
baseballglove,baseballglove,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,baseball glove,26,62%,62%,5,1.48,,33,3,36,Outdoor activity & sport item,28,2,85%,83%,0.76,,42,4.33,0.95,,42,2.4,0.94,,32,3.31,1.4,,30,3.73,1.39,,34,3.91,1.24
baseboard,baseboard,BOSS-2014 (v.2),,42,5,6,6,12%,14%,14%,25,molding,5,12%,20%,14,3.4,,32,1,33,Building material,26,0,81%,79%,0.82,,42,3.83,1.23,,42,1.86,1.12,,,,,,,,,,29,1.48,0.95
basketball01,basketball,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Basketball,40,95%,95%,3,0.32,,33,1,34,Outdoor activity & sport item,31,0,94%,91%,0.33,,42,4.79,0.47,,42,1.83,1.06,,31,4.45,1.12,,31,4.32,0.87,,34,4.26,0.99
basketballhoop01,basketballnet01,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Basketball hoop,16,38%,38%,10,2.23,,33,1,34,Outdoor activity & sport item,30,0,91%,88%,0.52,,42,4.6,0.66,,42,2.33,1.1,,,,,,,,,,34,3.94,1.28
bassethound,bassethound,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,dog,25,60%,60%,10,2.15,,33,0,33,Canine,29,0,88%,88%,0.63,,42,4.26,0.99,,42,2.95,1.45,,32,3.03,1.45,,32,3.5,1.41,,34,2.56,1.4
bassguitar,bassguitar,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,guitar,19,45%,45%,8,1.9,,33,0,33,Musical instrument,33,0,100%,100%,0,,42,4.21,0.87,,42,2.86,1.32,,,,,,,,,,34,4.29,0.87
bastingbrush,bastingbrush,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,1,34,Kitchen & utensil,26,0,79%,76%,1.14,,,,,,,,,,,,,,,,,,,,
bat,bat,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,bat,40,95%,95%,2,0.28,,33,1,34,Mammal,26,0,79%,76%,1.08,,42,4.17,1.08,,42,3.21,1.49,,32,3.63,1.18,,32,2.94,1.5,,34,1.85,1.1
bathtub,bath,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,bathtub,35,83%,83%,3,0.79,,32,4,36,Skincare & bathroom item,17,2,53%,53%,1.73,,42,4.79,0.47,,42,2.26,1.01,,32,3.53,1.24,,32,3.63,1.36,,34,3.32,1.15
battery02b,battery02b,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Electronic device & accessory,21,0,64%,64%,1.46,,,,,,,,,,,,,,,,,,,,
battleship,battleship,BOSS-2014 (v.2),,42,1,0,1,2%,0%,2%,40,Battleship,15,36%,38%,14,3.07,,31,6,37,Vehicle,23,3,74%,70%,1.03,,42,3.62,1.19,,42,3.83,1.46,,,,,,,,,,34,1.59,0.92
bazooka,bazooka,BOSS-2014 (v.2),,42,16,2,1,38%,5%,2%,23,Bazooka,8,19%,35%,12,3.13,,33,1,34,War related weapon & item,28,1,85%,85%,0.84,,38,2.76,1.38,,40,2.45,1.11,,,,,,,,,,27,2.26,1.51
barbecue03,bbq03,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Barbecue,15,36%,36%,8,2.34,,33,1,34,Outdoor activity & sport item,15,0,45%,44%,2.12,,42,4.81,0.45,,41,3.02,1.39,,,,,,,,,,34,3.38,1.18
charcoalbarbecue,bbqgrill,BOSS-2014 (v.2),,42,5,5,1,12%,12%,2%,31,Barbecue,6,14%,19%,13,3.26,,32,0,32,Outdoor activity & sport item,12,0,38%,38%,2.31,,40,3.75,1.24,,40,2.28,1.13,,,,,,,,,,32,2.38,1.31
barbecuelighter,bbqlighter,BOSS-2014 (v.2),,42,1,3,3,2%,7%,7%,35,lighter,19,45%,54%,11,2.4,,33,0,33,Household article & cleaner,9,0,27%,27%,2.13,,42,4.21,1.05,,42,2.24,1.05,,,,,,,,,,34,2.97,1.19
beachpaddle01a,beachpaddle01a,BOSS-2014 (v.2),,42,0,4,2,0%,10%,5%,36,Ping pong paddle,11,26%,31%,11,2.81,,33,1,34,Gamestoy & entertainment,26,0,79%,76%,0.75,,42,4,1.01,,42,1.69,0.87,,,,,,,,,,34,2.94,1.2
beachumbrella01,beachumbrella01,BOSS-2014 (v.2),,42,0,0,2,0%,0%,5%,40,umbrella,23,55%,58%,8,1.99,,33,1,34,Outdoor activity & sport item,22,0,67%,65%,1.46,,42,4.4,0.86,,42,1.71,0.92,,18,2.33,1.24,,18,2.83,1.42,,34,3.41,1.16
buoy,beaconbuoy,BOSS-2014 (v.2),,42,10,9,2,24%,21%,5%,21,buoy,13,31%,62%,7,1.88,,31,1,32,Building infrastructure,24,0,77%,75%,1.19,,40,2.8,1.34,,39,3.41,1.19,,,,,,,,,,32,1.41,0.67
beaver,beaver,BOSS-2014 (v.2),,42,0,3,0,0%,7%,0%,39,beaver,39,93%,100%,1,0,,32,0,32,Mammal,30,0,94%,94%,0.34,,42,4.17,1.17,,42,3.21,1.39,,32,3.94,1.24,,32,3.06,1.34,,33,1.73,1.01
bed,bed,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,bed,34,81%,81%,5,1,,33,0,33,Furniture,31,0,94%,94%,0.39,,41,4.8,0.46,,41,1.98,1.04,,32,3.63,1.43,,32,3.63,1.54,,34,3.74,1.21
